#,Thumb,Index,Middle,Ring,Pinky
calib_closed,166786.55,645400.19,210874.66,159935.43,246920.50
calib_half,168166.05,536475.05,195054.10,150579.83,220416.28
calib_open,165513.87,491235.01,179621.84,142322.23,195716.00
calib_span,1272.68,154165.18,31252.82,17613.20,51204.50

time_s,Thumb,Index,Middle,Ring,Pinky,ch15,ch16,ch17
9.2560,1.00000,1.00000,1.00000,1.00000,0.41946,0.28010,-0.17350,-0.93040
9.2730,1.00000,1.00000,1.00000,1.00000,0.41946,0.28010,-0.17350,-0.93040
9.2890,1.00000,1.00000,1.00000,1.00000,0.41946,0.28010,-0.17350,-0.93040
9.3050,1.00000,1.00000,1.00000,1.00000,0.42231,0.25640,-0.17590,-0.92550
9.3210,1.00000,1.00000,1.00000,1.00000,0.42231,0.25640,-0.17590,-0.92550
9.3370,1.00000,1.00000,1.00000,1.00000,0.42231,0.25640,-0.17590,-0.92550
9.3530,1.00000,1.00000,1.00000,1.00000,0.42231,0.25640,-0.17590,-0.92550
9.3690,1.00000,1.00000,1.00000,1.00000,0.42231,0.25640,-0.17590,-0.92550
9.3860,1.00000,1.00000,1.00000,1.00000,0.42231,0.25640,-0.17590,-0.92550
9.4030,1.00000,1.00000,1.00000,1.00000,0.42231,0.25640,-0.17590,-0.92550
9.4190,1.00000,1.00000,1.00000,1.00000,0.42200,0.26180,-0.16570,-0.92110
9.4360,1.00000,1.00000,1.00000,1.00000,0.42200,0.26180,-0.16570,-0.92110
9.4530,1.00000,1.00000,1.00000,1.00000,0.42200,0.26180,-0.16570,-0.92110
9.4700,1.00000,1.00000,1.00000,1.00000,0.42200,0.26180,-0.16570,-0.92110
9.4870,1.00000,1.00000,1.00000,1.00000,0.42263,0.27550,-0.16150,-0.93620
9.5040,1.00000,1.00000,1.00000,1.00000,0.42359,0.28130,-0.17810,-0.94750
9.5200,1.00000,1.00000,1.00000,1.00000,0.42548,0.28820,-0.19520,-0.93260
9.5380,1.00000,1.00000,1.00000,1.00000,0.42358,0.27770,-0.17450,-0.92960
9.5540,1.00000,1.00000,1.00000,1.00000,0.42358,0.27770,-0.17450,-0.92960
9.5710,1.00000,1.00000,1.00000,1.00000,0.42358,0.27770,-0.17450,-0.92960
9.5880,1.00000,1.00000,1.00000,1.00000,0.42358,0.27770,-0.17450,-0.92960
9.6050,1.00000,1.00000,1.00000,1.00000,0.42295,0.24620,-0.15840,-0.92130
9.6210,1.00000,1.00000,1.00000,1.00000,0.42295,0.24620,-0.15840,-0.92130
9.6370,1.00000,1.00000,1.00000,1.00000,0.42295,0.24620,-0.15840,-0.92130
9.6540,1.00000,1.00000,1.00000,1.00000,0.42295,0.24620,-0.15840,-0.92130
9.6700,1.00000,1.00000,1.00000,1.00000,0.42295,0.24620,-0.15840,-0.92130
9.6870,1.00000,1.00000,1.00000,1.00000,0.42295,0.24620,-0.15840,-0.92130
9.7030,1.00000,1.00000,1.00000,1.00000,0.42295,0.24620,-0.15840,-0.92130
9.7190,1.00000,1.00000,1.00000,1.00000,0.42295,0.24620,-0.15840,-0.92130
9.7350,1.00000,1.00000,1.00000,1.00000,0.42295,0.24620,-0.15840,-0.92130
9.7510,1.00000,1.00000,1.00000,1.00000,0.42295,0.24620,-0.15840,-0.92130
9.7670,1.00000,1.00000,1.00000,1.00000,0.42295,0.24620,-0.15840,-0.92130
9.7840,1.00000,1.00000,1.00000,1.00000,0.42643,0.25080,-0.14620,-0.92400
9.8010,1.00000,1.00000,1.00000,1.00000,0.42990,0.24890,-0.14740,-0.90940
9.8170,1.00000,1.00000,1.00000,1.00000,0.44097,0.25570,-0.17810,-0.91910
9.8330,1.00000,1.00000,1.00000,1.00000,0.44287,0.25500,-0.18470,-0.92430
9.8500,1.00000,1.00000,1.00000,1.00000,0.44287,0.25550,-0.18100,-0.92260
9.8660,1.00000,1.00000,1.00000,1.00000,0.44287,0.25550,-0.18100,-0.92260
9.8820,1.00000,1.00000,1.00000,1.00000,0.44287,0.25550,-0.18100,-0.92260
9.8990,1.00000,1.00000,1.00000,1.00000,0.44065,0.24990,-0.17370,-0.90960
9.9150,1.00000,1.00000,1.00000,1.00000,0.44002,0.25230,-0.16930,-0.92890
9.9320,1.00000,1.00000,1.00000,1.00000,0.44002,0.25230,-0.16930,-0.92890
9.9480,1.00000,1.00000,1.00000,1.00000,0.44002,0.25230,-0.16930,-0.92890
9.9650,1.00000,1.00000,1.00000,1.00000,0.44002,0.25230,-0.16930,-0.92890
9.9810,1.00000,1.00000,1.00000,1.00000,0.44002,0.25230,-0.16930,-0.92890
9.9970,1.00000,1.00000,1.00000,1.00000,0.44002,0.25230,-0.16930,-0.92890
10.0140,1.00000,1.00000,1.00000,1.00000,0.43970,0.24400,-0.18670,-0.93770
10.0320,1.00000,1.00000,1.00000,1.00000,0.43717,0.25520,-0.15740,-0.94160
10.0480,1.00000,1.00000,1.00000,1.00000,0.43717,0.25520,-0.15740,-0.94160
10.0650,1.00000,1.00000,1.00000,1.00000,0.43717,0.25520,-0.15740,-0.94160
10.0820,1.00000,1.00000,1.00000,1.00000,0.43717,0.25520,-0.15740,-0.94160
10.0990,1.00000,1.00000,1.00000,1.00000,0.43717,0.25520,-0.15740,-0.94160
10.1150,1.00000,1.00000,1.00000,1.00000,0.43717,0.25520,-0.15740,-0.94160
10.1330,1.00000,1.00000,1.00000,1.00000,0.43717,0.25520,-0.15740,-0.94160
10.1500,1.00000,1.00000,1.00000,1.00000,0.43465,0.26500,-0.15520,-0.93670
10.1660,1.00000,1.00000,1.00000,1.00000,0.42390,0.25860,-0.16250,-0.92060
10.1820,1.00000,1.00000,1.00000,1.00000,0.42390,0.25860,-0.16250,-0.92060
10.1980,1.00000,1.00000,1.00000,1.00000,0.42390,0.25860,-0.16250,-0.92060
10.2140,1.00000,1.00000,1.00000,1.00000,0.42390,0.25860,-0.16250,-0.92060
10.2310,1.00000,1.00000,1.00000,1.00000,0.42390,0.25860,-0.16250,-0.92060
10.2470,1.00000,1.00000,1.00000,1.00000,0.42390,0.25860,-0.16250,-0.92060
10.2650,1.00000,1.00000,1.00000,1.00000,0.42707,0.25890,-0.13760,-0.92310
10.2820,1.00000,1.00000,1.00000,1.00000,0.42770,0.26350,-0.16860,-0.92890
10.2990,1.00000,1.00000,1.00000,1.00000,0.42770,0.26350,-0.16860,-0.92890
10.3150,1.00000,1.00000,1.00000,1.00000,0.42770,0.26350,-0.16860,-0.92890
10.3320,1.00000,1.00000,1.00000,1.00000,0.42770,0.26350,-0.16860,-0.92890
10.3490,1.00000,1.00000,1.00000,1.00000,0.42770,0.26350,-0.16860,-0.92890
10.3650,1.00000,1.00000,1.00000,1.00000,0.42770,0.26350,-0.16860,-0.92890
10.3830,1.00000,1.00000,1.00000,1.00000,0.42929,0.24840,-0.17010,-0.93280
10.4010,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.4180,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.4350,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.4520,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.4680,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.4850,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.5020,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.5190,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.5360,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.5530,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.5700,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.5860,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.6030,1.00000,1.00000,1.00000,1.00000,0.42991,0.24060,-0.16370,-0.93740
10.6200,1.00000,1.00000,1.00000,1.00000,0.42800,0.25960,-0.17200,-0.93060
10.6360,1.00000,1.00000,1.00000,1.00000,0.42895,0.24420,-0.16520,-0.91180
10.6530,1.00000,1.00000,1.00000,1.00000,0.42895,0.24420,-0.16520,-0.91180
10.6690,1.00000,1.00000,1.00000,1.00000,0.42895,0.24420,-0.16520,-0.91180
10.6850,1.00000,1.00000,1.00000,1.00000,0.42895,0.24420,-0.16520,-0.91180
10.7010,1.00000,1.00000,1.00000,1.00000,0.42895,0.24420,-0.16520,-0.91180
